company_code,date,open,high,low,close,volume,date_diff,daily_return
INFY.NS,2022-08-03,1405.2726932814403,1424.3241629773152,1397.017078561979,1420.7860107421875,6011955,1.0,0.014576362108990049
INFY.NS,2022-08-04,1440.2004889831908,1455.033397854832,1428.814922709787,1451.449951171875,7402209,1.0,0.021582377780922313
INFY.NS,2022-08-05,1459.1611241061719,1474.8558394703302,1453.6271480443154,1466.6456298828125,5361971,1.0,0.010469309464421261
INFY.NS,2022-08-08,1466.963169953547,1471.499234177275,1447.9117002138908,1469.1405029296875,3763409,3.0,0.0017010742036400739
INFY.NS,2022-08-10,1470.7733009905926,1470.7733009905926,1440.7445803999908,1453.7630615234375,4423829,2.0,-0.0104669644432136
INFY.NS,2022-08-11,1478.756814861088,1479.9815299516408,1466.05583608314,1469.6392822265625,3462090,1.0,0.010920775966399843
INFY.NS,2022-08-12,1463.6066650633047,1464.2416698171442,1442.604663573618,1446.1881103515625,3562286,1.0,-0.015957093797513755
INFY.NS,2022-08-16,1459.7053891087387,1459.7053891087387,1443.4662579077537,1448.31982421875,3004430,4.0,0.0014740225368532478
INFY.NS,2022-08-17,1448.319962808223,1462.4271674367703,1437.9324195950876,1457.210693359375,4067324,1.0,0.006138747113691556
INFY.NS,2022-08-18,1446.1880779329435,1449.9076287158357,1427.9531205875353,1436.0726318359375,4635706,1.0,-0.014505837501581187
INFY.NS,2022-08-19,1438.2046224349253,1455.985972727663,1438.023113412736,1448.90966796875,4739884,1.0,0.00893898807639082
INFY.NS,2022-08-22,1438.8397049053958,1450.6334729783907,1427.9531497610926,1429.4500732421875,3950555,3.0,-0.013430509269665714
INFY.NS,2022-08-23,1404.3654036721289,1410.262286827083,1390.757211776081,1399.2850341796875,5551574,1.0,-0.021102548194692483
INFY.NS,2022-08-24,1392.5714458682673,1402.5507852197663,1388.942595194995,1394.8394775390625,2888426,1.0,-0.0031770200724194897
INFY.NS,2022-08-25,1404.3654366095145,1405.0004412820567,1373.2933977181217,1377.28515625,4331088,1.0,-0.012585191035769827
INFY.NS,2022-08-26,1392.7079467023948,1401.5985669386262,1376.650211452045,1380.369873046875,3079136,1.0,0.0022397081554801357
INFY.NS,2022-08-29,1332.2874999956043,1332.2874999956043,1315.458657016953,1326.118408203125,8079050,3.0,-0.039302121774072996
INFY.NS,2022-08-30,1336.4153079026626,1357.2812047129148,1329.9741184273807,1354.4234619140625,6725875,1.0,0.02134428836508695
INFY.NS,2022-09-01,1324.576097843867,1331.8790944646682,1316.4111826136234,1328.3409423828125,8140604,2.0,-0.019257285675183367
INFY.NS,2022-09-02,1340.8606195627042,1340.8606195627042,1313.644233509334,1318.1802978515625,5175653,1.0,-0.00764912396137063
INFY.NS,2022-09-05,1316.3658682629728,1330.8812741156314,1312.1473062882924,1325.710205078125,3669352,3.0,0.005712350001615851
INFY.NS,2022-09-06,1325.7102355622496,1333.6029433786189,1311.330822713805,1320.08544921875,3428442,1.0,-0.004242824591550565
INFY.NS,2022-09-07,1306.386475113744,1329.7472054847017,1304.6174543928623,1322.3988037109375,3600574,1.0,0.0017524278398466375
INFY.NS,2022-09-08,1338.13893063629,1343.6729067769502,1327.7966821761806,1338.9554443359375,4061475,1.0,0.012520156989357822
INFY.NS,2022-09-09,1349.9326999442885,1378.9635106957787,1342.674997256416,1371.3883056640625,4816910,1.0,0.024222509767089617
INFY.NS,2022-09-12,1384.2252324210292,1402.460186207058,1380.0066710634892,1393.66015625,5494819,3.0,0.016240367876808603
INFY.NS,2022-09-13,1407.903584157342,1408.9014961011296,1398.2871505052733,1401.598388671875,4947158,1.0,0.0056959599413639594
INFY.NS,2022-09-14,1358.0977298843989,1359.8667507661016,1335.4174070740382,1338.501953125,14332197,1.0,-0.045017485791107315
INFY.NS,2022-09-15,1338.138952185551,1338.3203504578364,1296.45256607429,1299.8546142578125,12784100,1.0,-0.028873576745224394
INFY.NS,2022-09-16,1292.7782765113873,1292.7782765113873,1241.3846477911488,1249.2774658203125,20464045,1.0,-0.038909850288432746
INFY.NS,2022-09-19,1262.8401910629045,1275.5411699960084,1252.4979432114847,1261.2979736328125,6595241,3.0,0.009621968010610882
INFY.NS,2022-09-20,1277.3102899424387,1282.3907705057266,1256.5804984348933,1259.71044921875,7219797,1.0,-0.001258643434976836
INFY.NS,2022-09-21,1251.8628761327122,1259.9370916291361,1241.4299296722327,1249.458740234375,7917054,1.0,-0.008138147135901663
INFY.NS,2022-09-22,1239.5702101574118,1255.5371335852622,1233.80943091915,1241.021728515625,9168498,1.0,-0.006752533274662076
INFY.NS,2022-09-23,1240.6134926298298,1265.3804461403417,1235.6238222755599,1238.753662109375,10426200,1.0,-0.001827579932031309
INFY.NS,2022-09-26,1233.8094816948922,1269.5989844950832,1229.2734174239552,1252.1805419921875,9414587,3.0,0.010839023361552735
INFY.NS,2022-09-27,1264.1556500846286,1275.9948215927839,1250.1392564200899,1264.2464599609375,8561254,1.0,0.009635925143472779
INFY.NS,2022-09-28,1251.046475907764,1275.4051179200892,1249.2320502719297,1265.2896728515625,7022098,1.0,0.0008251657597342366
INFY.NS,2022-09-29,1274.5432487847852,1279.0339077201488,1263.7473946216799,1268.8731689453125,6119965,1.0,0.0028321546999383607
INFY.NS,2022-09-30,1260.0733324380312,1287.607332969342,1248.324969500773,1282.300048828125,8120130,1.0,0.010581735205239529
INFY.NS,2022-10-03,1280.98449026065,1280.98449026065,1257.3969571538678,1264.4278564453125,4943169,3.0,-0.013937605632274308
INFY.NS,2022-10-04,1287.9699887820675,1299.3555539044949,1282.7989200355776,1296.77001953125,6631341,1.0,0.02557849617206398
INFY.NS,2022-10-06,1310.922626390357,1324.3494214633474,1310.106112640393,1320.130859375,6180672,2.0,0.018014635973921056
INFY.NS,2022-10-07,1312.1472810452483,1322.580228801138,1306.5226056830536,1316.5472412109375,3994466,1.0,-0.002714593131895371
INFY.NS,2022-10-10,1294.003064795037,1329.0668646353636,1294.003064795037,1326.9349365234375,5274677,3.0,0.007890104500120732
